Starting serial version of pi calculation using dartboard algorithm...
   After 640000 throws, average value of pi = 3.14196875
   After 650000 throws, average value of pi = 3.14228308
   After 660000 throws, average value of pi = 3.14241212
   After 670000 throws, average value of pi = 3.14197612
   After 680000 throws, average value of pi = 3.14193529
   After 690000 throws, average value of pi = 3.14224348
   After 700000 throws, average value of pi = 3.14230857
Starting serial version of pi calculation using dartboard algorithm...
   After 10000 throws, average value of pi = 3.15880000
   After 20000 throws, average value of pi = 3.15500000
   After 30000 throws, average value of pi = 3.14080000
   After 40000 throws, average value of pi = 3.14140000
   After 50000 throws, average value of pi = 3.14096000
   After 60000 throws, average value of pi = 3.14306667
   After 70000 throws, average value of pi = 3.14497143
   After 80000 throws, average value of pi = 3.14545000
   After 90000 throws, average value of pi = 3.14715556
   After 100000 throws, average value of pi = 3.14756000
   After 110000 throws, average value of pi = 3.14745455
   After 120000 throws, average value of pi = 3.14593333
   After 130000 throws, average value of pi = 3.14544615
   After 140000 throws, average value of pi = 3.14588571
   After 150000 throws, average value of pi = 3.14728000
   After 160000 throws, average value of pi = 3.14435000
   After 170000 throws, average value of pi = 3.14298824
   After 180000 throws, average value of pi = 3.14340000
   After 190000 throws, average value of pi = 3.14277895
   After 200000 throws, average value of pi = 3.14186000
   After 210000 throws, average value of pi = 3.14224762
   After 220000 throws, average value of pi = 3.14270909
   After 230000 throws, average value of pi = 3.14194783
   After 240000 throws, average value of pi = 3.14265000
   After 250000 throws, average value of pi = 3.14193600
   After 260000 throws, average value of pi = 3.14112308
   After 270000 throws, average value of pi = 3.14088889
   After 280000 throws, average value of pi = 3.14065714
   After 290000 throws, average value of pi = 3.14153103
   After 300000 throws, average value of pi = 3.14104000
   After 310000 throws, average value of pi = 3.14160000
   After 320000 throws, average value of pi = 3.14181250
   After 330000 throws, average value of pi = 3.14220606
   After 340000 throws, average value of pi = 3.14151765
   After 350000 throws, average value of pi = 3.14115429
   After 360000 throws, average value of pi = 3.14183333
   After 370000 throws, average value of pi = 3.14153514
   After 380000 throws, average value of pi = 3.14201053
   After 390000 throws, average value of pi = 3.14183590
   After 400000 throws, average value of pi = 3.14258000
   After 410000 throws, average value of pi = 3.14237073
   After 420000 throws, average value of pi = 3.14239048
   After 430000 throws, average value of pi = 3.14216744
   After 440000 throws, average value of pi = 3.14199091
   After 450000 throws, average value of pi = 3.14219556
   After 460000 throws, average value of pi = 3.14194783
   After 470000 throws, average value of pi = 3.14198298
   After 480000 throws, average value of pi = 3.14204167
   After 490000 throws, average value of pi = 3.14140408
   After 500000 throws, average value of pi = 3.14140800
   After 510000 throws, average value of pi = 3.14138824
   After 520000 throws, average value of pi = 3.14134615
   After 530000 throws, average value of pi = 3.14160000
   After 540000 throws, average value of pi = 3.14165185
   After 550000 throws, average value of pi = 3.14096000
   After 560000 throws, average value of pi = 3.14165000
   After 570000 throws, average value of pi = 3.14185965
   After 580000 throws, average value of pi = 3.14186897
   After 590000 throws, average value of pi = 3.14165424
   After 600000 throws, average value of pi = 3.14188000
   After 610000 throws, average value of pi = 3.14138361
   After 620000 throws, average value of pi = 3.14185806
   After 630000 throws, average value of pi = 3.14184127
   After 640000 throws, average value of pi = 3.14196875
   After 650000 throws, average value of pi = 3.14228308
   After 660000 throws, average value of pi = 3.14241212
   After 670000 throws, average value of pi = 3.14197612
   After 680000 throws, average value of pi = 3.14193529
   After 690000 throws, average value of pi = 3.14224348
   After 700000 throws, average value of pi = 3.14230857
   After 710000 throws, average value of pi = 3.14184789
   After 720000 throws, average value of pi = 3.14192222
   After 730000 throws, average value of pi = 3.14171507
   After 740000 throws, average value of pi = 3.14205946
   After 750000 throws, average value of pi = 3.14192533
   After 760000 throws, average value of pi = 3.14209474
   After 770000 throws, average value of pi = 3.14190649
   After 780000 throws, average value of pi = 3.14202564
   After 790000 throws, average value of pi = 3.14210127
   After 800000 throws, average value of pi = 3.14230000
   After 810000 throws, average value of pi = 3.14240494
   After 820000 throws, average value of pi = 3.14204878
   After 830000 throws, average value of pi = 3.14214940
   After 840000 throws, average value of pi = 3.14198095
   After 850000 throws, average value of pi = 3.14198588
   After 860000 throws, average value of pi = 3.14181395
   After 870000 throws, average value of pi = 3.14204138
   After 880000 throws, average value of pi = 3.14165455
   After 890000 throws, average value of pi = 3.14164045
   After 900000 throws, average value of pi = 3.14159111
   After 910000 throws, average value of pi = 3.14155165
   After 920000 throws, average value of pi = 3.14131739
   After 930000 throws, average value of pi = 3.14129892
   After 940000 throws, average value of pi = 3.14155745
   After 950000 throws, average value of pi = 3.14174316
   After 960000 throws, average value of pi = 3.14181250
   After 970000 throws, average value of pi = 3.14163711
   After 980000 throws, average value of pi = 3.14166122
   After 990000 throws, average value of pi = 3.14164848
   After 1000000 throws, average value of pi = 3.14174400

Real value of PI: 3.1415926535897 
   After 710000 throws, average value of pi = 3.14184789
   After 720000 throws, average value of pi = 3.14192222
   After 730000 throws, average value of pi = 3.14171507
   After 740000 throws, average value of pi = 3.14205946
   After 750000 throws, average value of pi = 3.14192533
   After 760000 throws, average value of pi = 3.14209474
   After 770000 throws, average value of pi = 3.14190649
   After 780000 throws, average value of pi = 3.14202564
   After 790000 throws, average value of pi = 3.14210127
   After 800000 throws, average value of pi = 3.14230000
   After 810000 throws, average value of pi = 3.14240494
   After 820000 throws, average value of pi = 3.14204878
   After 830000 throws, average value of pi = 3.14214940
   After 840000 throws, average value of pi = 3.14198095
   After 850000 throws, average value of pi = 3.14198588
   After 860000 throws, average value of pi = 3.14181395
   After 870000 throws, average value of pi = 3.14204138
   After 880000 throws, average value of pi = 3.14165455
   After 890000 throws, average value of pi = 3.14164045
   After 900000 throws, average value of pi = 3.14159111
   After 910000 throws, average value of pi = 3.14155165
   After 920000 throws, average value of pi = 3.14131739
   After 930000 throws, average value of pi = 3.14129892
   After 940000 throws, average value of pi = 3.14155745
   After 950000 throws, average value of pi = 3.14174316
   After 960000 throws, average value of pi = 3.14181250
   After 970000 throws, average value of pi = 3.14163711
   After 980000 throws, average value of pi = 3.14166122
   After 990000 throws, average value of pi = 3.14164848
   After 1000000 throws, average value of pi = 3.14174400

Real value of PI: 3.1415926535897 
JobId=264230 JobName=Name_of_Job
   UserId=mojumder(919252) GroupId=mecheng(2009) MCS_label=N/A
   Priority=10328 Nice=0 Account=general QOS=normal
   JobState=RUNNING Reason=None Dependency=(null)
   Requeue=0 Restarts=0 BatchFlag=1 Reboot=0 ExitCode=0:0
   RunTime=00:00:04 TimeLimit=00:10:00 TimeMin=N/A
   SubmitTime=2018-10-02T11:12:39 EligibleTime=2018-10-02T11:12:39
   StartTime=2018-10-02T11:12:40 EndTime=2018-10-02T11:22:40 Deadline=N/A
   PreemptTime=None SuspendTime=None SecsPreSuspend=0
   LastSchedEval=2018-10-02T11:12:40
   Partition=general-long-16 AllocNode:Sid=lac-354:13997
   ReqNodeList=(null) ExcNodeList=(null)
   NodeList=lac-[374-375]
   BatchHost=lac-374
   NumNodes=2 NumCPUs=16 NumTasks=4 CPUs/Task=4 ReqB:S:C:T=0:0:*:*
   TRES=cpu=16,mem=20G,node=2,billing=16
   Socks/Node=* NtasksPerN:B:S:C=2:0:*:* CoreSpec=*
   MinCPUsNode=8 MinMemoryNode=10G MinTmpDiskNode=0
   Features=(null) DelayBoot=00:00:00
   Gres=(null) Reservation=(null)
   OverSubscribe=OK Contiguous=0 Licenses=(null) Network=(null)
   Command=/mnt/home/mojumder/Documents/cmse822-fs18-MJ0706/ica5/submitjob.sb
   WorkDir=/mnt/home/mojumder/Documents/cmse822-fs18-MJ0706/ica5
   Comment=stdout=/mnt/home/mojumder/Documents/cmse822-fs18-MJ0706/ica5/slurm-264229.out 
   StdErr=/mnt/home/mojumder/Documents/cmse822-fs18-MJ0706/ica5/slurm-264230.out
   StdIn=/dev/null
   StdOut=/mnt/home/mojumder/Documents/cmse822-fs18-MJ0706/ica5/slurm-264230.out
   Power=

